latitude,longitude,rwi,error,pm25,pm25_distance,wealth_quartile,region
6.020385,116.7297363,0.438,0.539,11.792854,0.006614083406588735,Q4 (Richest),Sabah
2.9978987,103.1506348,-0.014,0.486,16.12401,0.0052390304891626405,Q3 (Upper-Mid),Southern
5.4519589,118.6853027,-0.337,0.461,12.774417,0.003056294563452644,Q2 (Lower-Mid),Sabah
6.1514779,116.2902832,0.206,0.501,12.810924,0.0058853715720602945,Q3 (Upper-Mid),Sabah
5.6269192,117.3669434,-0.244,0.536,12.599542,0.0027328446468931366,Q2 (Lower-Mid),Sabah
6.1296313,102.2277832,0.759,0.518,21.710112,0.0054040390367459355,Q4 (Richest),Northern
5.8892605,100.645752,0.619,0.552,14.814229,0.004326716318109118,Q4 (Richest),Northern
4.6640299,118.223877,0.009,0.535,12.159106,0.001482809563962279,Q3 (Upper-Mid),Sabah
3.9629009,101.8103027,-0.574,0.517,17.165283,0.005147176873650886,Q1 (Poorest),Central
3.4366581,101.4367676,-0.367,0.525,19.903902,0.002425393153199113,Q2 (Lower-Mid),Southern
6.6755194,100.2722168,0.022,0.532,14.177115,0.0028327153901653314,Q3 (Upper-Mid),Northern
3.3050503,101.3269043,0.154,0.512,20.779339,0.0019080131306400312,Q3 (Upper-Mid),Southern
2.602864,113.170166,-0.477,0.485,14.194949,0.005287688265216306,Q1 (Poorest),Sarawak
2.84429,101.3708496,0.13,0.522,17.277811,0.004210695997973162,Q3 (Upper-Mid),Southern
5.8455454,117.6306152,-0.841,0.498,13.979156,0.004420735182435005,Q1 (Poorest),Sabah
5.8674033,117.322998,-0.705,0.5,13.594588,0.0031261390181455753,Q1 (Poorest),Sabah
2.405299,102.2058105,0.906,0.534,15.226594,0.0008621853471532926,Q4 (Richest),Southern
5.3863356,116.2243652,-0.067,0.544,14.692826,0.0014779215593801825,Q2 (Lower-Mid),Sabah
4.138243,102.4035645,-0.905,0.527,16.402761,0.00354580338234359,Q1 (Poorest),Central
3.3489215,102.052002,-0.458,0.52,16.756105,0.004936372330760152,Q1 (Poorest),Southern
1.5269188,110.1379395,-0.339,0.517,11.500438,0.0035085596547083254,Q2 (Lower-Mid),Sarawak
6.7628064,116.9934082,-0.177,0.439,14.8783455,0.002711802726174202,Q2 (Lower-Mid),Sabah
5.080001,118.3117676,-0.44,0.53,12.5281725,0.00595437497295063,Q1 (Poorest),Sabah
5.758105,117.2790527,-0.86,0.46,11.927756,0.00510414793029797,Q1 (Poorest),Sabah
5.4738318,115.5871582,-0.332,0.503,9.990212,0.0024548418061179017,Q2 (Lower-Mid),Sabah
2.8662354,103.4362793,-0.187,0.504,14.779754,0.0017801827516267831,Q2 (Lower-Mid),Southern
3.7655967,102.0080566,-0.123,0.531,16.860569,0.003116974048234812,Q2 (Lower-Mid),Central
4.97056,102.9528809,-0.071,0.497,13.483589,0.004920477790322296,Q2 (Lower-Mid),Central
3.809446,103.2165527,-0.011,0.544,15.884429,0.004710476134627337,Q3 (Upper-Mid),Central
4.2039864,101.1291504,0.102,0.527,20.04683,0.004272358887399092,Q3 (Upper-Mid),Central
5.1237722,116.0925293,-0.79,0.486,12.184243,0.002760051594184437,Q1 (Poorest),Sabah
